"부동산물건uid(부동산물건uid)","시도명(시도명)","시군구명(시군구명)","구명(구명)","읍면동명(읍면동명)","리명(리명)","번지(번지)","기타번지(기타번지)","아파트명(아파트명)","총세대수(총세대수)","총동수(총동수)","단지최고층(단지최고층)","단지최저층(단지최저층)","준공연월(준공연월)","건설업체명(건설업체명)","난방방식(난방방식)","난방연료(난방연료)","주차대수(주차대수)","관리사무소전화번호(관리사무소전화번호)","분양권여부(분양권여부)","입주년월(입주년월)","단지특성(단지특성)","우편번호(우편번호)","주상복합여부(주상복합여부)","빌라연립여부(빌라연립여부)","구청명(구청명)","동사무소명(동사무소명)","파출소명(파출소명)","소방서명(소방서명)","은행명(은행명)","병원명(병원명)","스포츠센터명(스포츠센터명)","쇼핑센터명(쇼핑센터명)","학교명(학교명)","공원명(공원명)","일반버스번호(일반버스번호)","좌석버스번호(좌석버스번호)","지하철노선명(지하철노선명)","지하철역명(지하철역명)","소요시간(소요시간)","법정동코드(법정동코드)","리모델링여부(리모델링여부)","단지 좌표 X값(단지 좌표 X값)","단지 좌표 Y값(단지 좌표 Y값)"
"KBA006935","서울특별시","도봉구",,"쌍문동",,"56",,"삼*****","1541","14","15","15","198809","삼익주택","개별","도시가스","1541","02-900-6450","F","198712",,"01431","F","F",,,,,,"한전",,"홈플러스, 이마트, 농협하나로,빅","창경, 한신, 동북, 백운, 정의, 선덕,신방학, 정의, 선덕,세그루패션디자인","북한산국립,쌍문그린","127","84","1호선, 4호선","창동역, 창동역","버스15분, 도보10분","1132010500","F","959060.8583303","1962079.1160806"
"KBA007043","서울특별시","도봉구",,"쌍문동",,"256",,"에*****","71","2","11","11","199411","신원종합개발","개별","도시가스","142","02-999-7831","F","199411","쌍문역버스로7분, 인근 창경초. 백운중.선덕고.정의여중고","01429","T","F","도봉","엔크린, 쌍문4","북부",,"조흥은행, 제일은행","한경원피부과, 손일수치과, 김이비인후과, 이수현소아과, 이수현내과, 한일","한양, 명성","E마트, 하나로마트, 미도파","동북, 선덕, 선덕","407, 29",,,,,,"1132010500","F","958390.2795356","1962074.694224"
"KBA007220","서울특별시","도봉구",,"창동",,"743-15","743-5, 공고시 743-15번지외7필지","창*****","194","2","18","16","200105","성원산업개발","개별","도시가스","420","02-997-2079","F","200106",,"01408","F","F",,,,,,,,,"자운, 창동, 도봉정보산업",,"235-1",,,,,"1132010700","F","960346.3729424","1962451.3232563"
"KBA007251","서울특별시","도봉구",,"창동",,"807",,"쌍*****","1352","15","24","20","199702","쌍용건설","지역","열병합","2028","02-906-8156","F","199702",,"01410","F","F","도봉","창4","도봉",,,,,"이마트.빅마켓.농협하나로클럽.홈플러스, 롯데, 롯데","자운.창도, 노곡.도봉.창동.창일, 서울문화.자운.정의여자.창동","월천.초안산근린.북서울꿈의숲","72-3.1119.1161",,"1호선, 4호선","창동역, 창동역","도보10분, 도보10분","1132010700","F","960211.8502564","1962344.0801099"
"KBA007401","서울특별시","도봉구",,"창동",,"621-69",,"창*****","202","3","19","9","200208","한신공영","개별","도시가스","303","02-902-7878","F","200207",,"01459","F","F",,,,,,,,,,,,,,,,"1132010700","F","958975.2472257","1960796.0414165"
"KBA007645","서울특별시","도봉구",,"쌍문동",,"724",,"백*****","104","4","4","4","198107","백조건설","개별","도시가스","55","02-996-3325","F","198107",,"01451","F","T",,,,,,"한일",,"이마트","승리, 신도봉, 정의여자",,,,,,,"1132010500","F","958215.316694","1960832.0803079"
"KBA007663","서울특별시","도봉구",,"쌍문동",,"59-3",,"한*****","414","3","17","9","199105","한양","개별","도시가스","414","02-997-8536","F","199105","한양2차(1동~6동)동향,남향이 섞여있고,  한양3차(7~8동) 동향만 있음. 한양4차(9~10동)임.(지번","01433","F","F",,,,,,,,,,,,,,,,"1132010500","F","958729.8464954","1961941.7316838"
"KBA007672","서울특별시","도봉구",,"방학동",,"530",,"신*****","210","3","14","4","199209",,"개별","도시가스","420","02-956-9244","F","199206","북한산 인수봉,도봉산 조망권 및 학군, 쾌적환경을 고루 갖춘 주거전용 단지임","01360","F","F","도봉","방학, 방학4","도봉",,"서울은행, 조흥은행","이근환정형외과, 정재균치과, 이계자소아과, 한경원피부과, 신동아내과, 김이비인후과, 한일","명성, 한양","하나로마트, E마트, 미도파","신학, 선덕, 선덕","단지공원, 35","29-1, 333.10","2","1호선, 4호선","창동, 쌍문","버스15분, 버스15분","1132010600","F","957914.2750601","1962416.3085873"
"KBA007758","서울특별시","도봉구",,"창동",,"373외 1필지","380","주*****","1710","10","15","15","199111","대한토지주택공사","중앙","도시가스","2565","02-998-8642","F","199111","17평과 18평은 전용(41.3)은 같으나 주택형이 18평이 넓어 실내에 들어 가면 육안으로도 차이가 많이","01424","F","F",,,,,,,,"이마트,창동하나로마트, 롯데","창일, 노곡, 청일, 서울외고",,"간선102, 지선1157",,"1호선, 4호선, 7호선","녹천역, 창동역, 중계역","도보5 분, 도보5 분, 도보5 분","1132010700","F","960129.0757568","1960843.0718377"
"KBA007785","서울특별시","도봉구",,"창동",,"31","30","주*****","910","13","15","5","198812","대한토지주택공사","지역","열병합","1500","02-900-0414","F","198812",,"01419","F","F",,"창4",,,,,,"빅마켓.이마트.홈플러스.하나로클럽, 롯데","월천.창일, 노곡.창북, 서울외국어.자운.창동","초안산근린.마들근린","102.1119.1120.1144",,"1호선, 7호선","녹천역, 중계역","도보5 분, 도보5 분","1132010700","F","960590.1519193","1960926.5826489"
"KBA007859","서울특별시","도봉구",,"도봉동",,"83외1필지","83,83-2","유*****","286","3","15","15","199011","유원건설","개별","도시가스","143","02-954-4991","F","199011","1,7호선 3분거리에 위치 하고 있습니다.","01320","F","F",,,,,"국민,신한,제일",,,"롯데마트, 롯데백화점","누원,도봉 , 도봉,북서울, 청원고등학교, 누원,도봉",,"1127, 1128, 1139, 1145, 5-2",,"1호선, 7호선","도봉산, 수락산","도보5 분, 도보5 분","1132010800","F","960261.4206999","1964816.1092134"
"KBA007882","서울특별시","도봉구",,"방학동",,"444-31",,"대*****","220","2","12","8","198709","태백건설","개별","도시가스","220","02-3494-4429","F","198705",,"01359","F","F",,,,,,,,"이마트,홈프러스,하나로마트,빅마켓","방학,신방학, 방학,신방학",,"127, 333","2","1호선","방학역","버스10분","1132010600","F","958378.368657","1962690.5331773"
"KBA008155","서울특별시","도봉구",,"방학동",,"701-15",,"거*****","347","3","18","12","199412","거성주택건설","개별","도시가스","347","02-3493-4115","F","199412",,"01339","F","F",,,,,,,,,,,,,,,,"1132010600","F","959355.4450012","1963109.1681883"
"KBA008330","서울특별시","도봉구",,"창동",,"27","33","주*****","1764","12","15","9","198811","대한토지주택공사","지역","열병합","3000","02-995-0418","F","198811",,"01417","F","F",,"창4동","도봉경찰서",,"국민. 조흥 ,한빛. 농협",,,"하나로,롯데,이마트, 롯데. 건영. 세이브존","월천, 노곡, 서울외고","초안산근린","333, 407",,"1호선, 4호선","창동역, 창동역","도보5 분, 도보10분","1132010700","F","960531.4156662","1961309.5552904"
"KBA008567","서울특별시","도봉구",,"쌍문동",,"160",,"쌍*****","142","1","15","8","199607","미라보건설","개별","도시가스","200","02-998-6242","F","199607",,"01435","F","F",,,,,,,,"롯데,신세계",,,,,"4호선","쌍문","버스5 분","1132010500","F","958700.9268719","1961842.3222082"
"KBA008647","서울특별시","도봉구",,"창동",,"347외 1필지","350","주*****","2856","32","15","5","199011","대한토지주택공사","지역","열병합","2856","02-904-7497","F","199009","302동은 22평.305동 907호 22평323동;공원전망으로 가격이 제일 높음307동 801호(23평에 해","01421","F","F",,,,,,,"시립창동운동장","이마트,하나로, 롯데","창원,창일, 창북,창일, 창동,서울외국어","초안산근린",,,"1호선, 4호선","창동역, 창동역","도보5 분, 도보5 분","1132010700","F","959780.3098078","1961275.5731345"
"KBA008744","서울특별시","도봉구",,"창동",,"812",,"창*****","158","1","12","12","199910","현대건설","개별","도시가스","237","02-992-9885","F","199911",,"01455","F","F",,,,,,,,,,,,,,,,"1132010700","F","959006.8769496","1960953.8151201"
"KBA008851","서울특별시","도봉구",,"창동",,"316","외1필지","주*****","750","5","15","15","199007","대한토지주택공사","개별","도시가스","1125","02-903-0283","F","199008",,"01404","F","F",,"창5동",,,,"백병원",,"이마트,하나로","창원, 창북, 창동",,"지선1120. 1127",,"1호선, 4호선","창동역, 창동역","도보5 분, 도보5 분","1132010700","F","959617.9198187","1961566.3326777"
"KBA009014","서울특별시","도봉구",,"방학동",,"715-12","외16필지","방*****","288","5","20","16","200210","삼성물산","개별","도시가스","320","02-3491-4739","F","200210","공원같은 아파트, 지상에 차가 없는 아파트, 편의시설 및 행정타운이 잘 갖춰진 아파트입니다.","01335","F","F",,,,,,,,,,,,,,,,"1132010600","F","959846.7286255","1963008.5842144"
"KBA009078","서울특별시","도봉구",,"도봉동",,"644",,"도*****","200","3","19","13","200211","도시개발공사","개별","도시가스","2","02-956-1589","F","200212","도봉산역 도보5분,인근 수락초중공,인근 작은 마트.롯데백화점 차로 5분1,7호선 역세권입니다.","01318","F","F",,,,,,,,"롯데마트, 롯데백화점","누원초등학교, 도봉초등학교, 도봉중학교, 누원고등학교, 청원고등학교",,"1127, 1128, 1139, 1145, 5-2",,"1호선, 7호선","도봉산, 도봉산","도보5 분, 도보5 분","1132010800","F","960222.895986","1965389.7044909"
"KBA009087","서울특별시","도봉구",,"창동",,"810",,"신*****","609","5","15","8","199807","도시개발공사","중앙","도시가스","914","02-992-1642","F","199808",,"01487","F","F",,,,,,,,"이마트,홈플러스","녹천, 녹천, 창동",,,,"1호선","녹천역","도보15분","1132010700","F","959584.9075317","1960248.9908555"
"KBA009090","서울특별시","도봉구",,"창동",,"300",,"상*****","427","4","12","10","198802","동성","지역","열병합","641","02-906-0726","F","198802",,"01403","F","F",,,,,,,"시립창동운동장","하나로클럽, 빅마켓","창동, 노곡, 창동, 창동",,,,"1호선, 4호선","창동역, 창동역","도보3 분, 도보3 분","1132010700","F","959796.1160639","1961615.3644107"
"KBA009132","서울특별시","도봉구",,"창동",,"814","공고시 54-1번지외56필지","대*****","366","5","21","15","200011","대우건설","개별","도시가스","549","02-998-8572","F","200012","녹천역도보3분,창동역도보10분,인근 창일초중. 초안산, 백병원.을지병원 차로10분, 인근이마트 하나로마트","01423","F","F","도봉",,,,,,,"빅.홈플러스.하나로클럽,E-, 롯데","창일.월천, 창일.노곡.창북, 서울외국어.창동.자운","초안산.마들근린","102.1157",,"1호선, 1호선, 4호선","창동역, 녹천역, 창동역","도보10분, 도보1 분, 도보10분","1132010700","F","960267.9317672","1960863.124081"
"KBA009145","서울특별시","도봉구",,"창동",,"809",,"창*****","183","1","19","8","199704","금용건설","개별","도시가스","183","02-998-2580","F","199704",,"01472","F","F",,,,,,,,,"쌍문초등학교, 창북중학교",,,,"4호선","쌍문","도보5 분","1132010700","F","959025.3331225","1959915.2961584"
"KBA009307","서울특별시","도봉구",,"방학동",,"496",,"벽*****","318","4","16","10","199603","벽산건설","개별","도시가스","318","02-3493-7958","F","199603",,"01361","F","F",,,,,,,,,"신학,초당, 선덕, 선덕","북한산국립그린, 쌍문그린",,,"4호선","쌍문역","도보6 분","1132010600","F","958128.1060025","1962249.2289251"
"KBA009500","서울특별시","도봉구",,"쌍문동",,"726",,"신*****","76","1","14","6","200211","신일라이프건설","개별","도시가스","0","02-902-2474","F","200211",,"01441","F","F",,,,,,,,,,,,,,,,"1132010500","F","958487.0964235","1961334.4478825"
"KBA009691","서울특별시","도봉구",,"방학동",,"531",,"신*****","660","10","15","15","199210",,"개별","도시가스","990","02-956-4238","F","199210",,"01361","F","F","도봉","방학4, 방학","도봉",,"국민은행, 서울은행","이근환정형외과, 한경원피부과, 정재균치과, 신동아내과, 김이비인후과, 이계자소아과, 한일","명성, 한양","E마트, 하나로마트, 미도파, 신세계","신학, 선덕, 선덕","10, 단지공원",,"2",,,,"1132010600","F","957982.4447282","1962302.7863283"
"KBA009721","서울특별시","도봉구",,"방학동",,"730",,"극*****","167","2","14","6","199309","극동건설","개별","도시가스","167","02-956-1534","F","199305",,"01316","F","F","도봉","방학3동, 방학","도봉",,"서울은행","이계자내과, 김이비인후과, 손일수치과, 이계자소아과, 한경원피부과, 한일","명성","하나로, 미도파","신방학, 신방학, 선덕",,,,,,,"1132010600","F","958269.569603","1962908.2341679"
"KBA009787","서울특별시","도봉구",,"창동",,"38",,"주*****","1980","11","15","15","198907","대한토지주택공사","중앙","도시가스","2970","02-995-4316","F","198909",,"01489","F","F",,,,,,,,"이마트, 하나로, 롯데","월천, 노곡, 서울외국어","월천, 초안산근린","333, 407","61","1호선, 1호선, 4호선","창동역, 녹천역, 창동역","도보5 분, 도보5 분, 도보10분","1132010700","F","960582.3201393","1960657.5231732"
"KBA010162","서울특별시","도봉구",,"쌍문동",,"719외 1필지","719-1","현*****","287","3","15","7","199311","현대건설","개별","도시가스","211","02-900-0270","F","199311",,"01377","F","F","도봉","쌍문4","도봉",,"국민","한경원피부과, 이수현내과, 손일수치과, 양의종소아과, 김진호이비인후과, 한일, 한일종합. 정.을지",,"창동이마트, 농협하나로클럽, 이마트, 롯데","숭미. 쌍문. 한신. 동, 동북, 선덕. 정의. 도봉., 선덕. 정의.","인근, 15, 단지","1126",,"4호선","쌍문역","버스10분","1132010500","F","957771.6074061","1961531.3916708"
"KBA010438","서울특별시","도봉구",,"쌍문동",,"13-2",,"대*****","160","4","5","5","198908","대웅건설","개별","도시가스","120","02-903-7016","F","198908",,"01393","F","F","도봉","쌍문2","도봉",,"국민, 신한","양의종소아과, 한경원피부과, 김주용내과, 김윤석이비인후과, 정병원","명성스포츠클럽","이마트창동, 농협하나로, 롯데","방학, 백운, 정의여자","432, 단지",,,"4호선","쌍문역","도보15분","1132010500","F","959032.4008043","1962366.3629062"
"KBA010488","서울특별시","도봉구",,"창동",,"815",,"창*****","705","9","25","12","200106","현대산업개발","개별","도시가스","990","02-902-2762","F","200106","***3bay구조이며, 현관,전실있음.***단지앞쪽으로 초등학교,고등학교및 학원가 형성됨.***창동역 7분?","01409","F","F",,,,,,"을지, 상계백",,"롯데, E-마트, 농협하나로, 롯데","자운, 창동, 자운",,,,"1호선, 4호선","창동역, 창동역","도보10분, 도보10분","1132010700","F","959972.3638288","1962498.9007558"
"KBA010723","서울특별시","도봉구",,"도봉동",,"81-1",,"극*****","205","2","15","9","199112","극동건설","개별","도시가스","0","02-956-1997","F","199112",,"01319","F","F",,,,,,,,,,,,,,,,"1132010800","F","960288.1387505","1964877.5441034"
"KBA010918","서울특별시","도봉구",,"쌍문동",,"722",,"쌍*****","103","1","16","10","199611","염광건설","개별","도시가스","2","02-906-6991","F","199611",,"01381","F","F",,,,,,,,,,,,,"4호선","수유","버스10분","1132010500","F","958229.2207859","1961115.1030051"
"KBA011058","서울특별시","도봉구",,"도봉동",,"555","555","서*****","348","3","12","12","198707","삼익건설","개별","도시가스","696","02-955-5954","F","198707",,"01302","F","F","도봉구청","도봉1동","도봉산파출소, 도봉","도봉","양주축협, 제일은행","상계백병원",,"한국까르푸, 롯데","도봉, 북서울, 도원","북한산국립공원, 중랑천생활체육공원","19.12.13","905","1호선, 7호선","도봉산, 도봉산","도보10분, 도보10분","1132010800","F","959570.7799628","1965323.2092353"
"KBA011268","서울특별시","도봉구",,"쌍문동",,"50외 1필지","50-1","쌍*****","192","2","15","10","199205","현대건설","개별","도시가스","192","02-997-8110","F","199205",,"01387","F","F",,,,,,,,,,,"1120, 1157",,"1호선, 4호선","창동, 쌍문","도보10분, 도보10분","1132010500","F","958573.4018232","1962297.6361967"
"KBA011614","서울특별시","도봉구",,"도봉동",,"655",,"래*****","448","7","18","12","200502","삼성건설","개별","도시가스","2","02-956-8617","F","200502",,"01321","F","F","도봉",,,,,,,"빅마켓, 롯데","누원, 도봉, 도봉, 북서울, 청원, 누원",,"1127, 1128, 1139, 1145, 5-2",,"1호선, 7호선","도봉역, 수락산역","도보3 분, 도보3 분","1132010800","F","960090.7657598","1964606.6966621"
"KBA011615","서울특별시","도봉구",,"방학동",,"713외 6필지",,"브*****","174","3","23","21","200304","이수건설","개별","도시가스","261","02-954-0394","F","200304","방학역3분거리 까르프방학점1분거리","01335","F","F",,,,,,,,"이마트","창동, 창도중,도봉, 온수","평화도봉공원",,,,,,"1132010600","F","959869.5955196","1962797.7394589"
"KBA011616","서울특별시","도봉구",,"방학동",,"718-7",,"E*****","296","5","21","20","200310","SR개발","개별","도시가스","296","02-956-2893","F","200309",,"01332","T","F",,,,,,,,"농협하나로마트,까루프, 롯데","노원고,도봉고.자운고",,,,"1호선","방학","버스5 분","1132010600","F","959918.0389494","1963334.0845674"
"KBA011617","서울특별시","도봉구",,"방학동",,"713-12",,"우*****","83","1","15","8","200311","우암연합개발","개별","도시가스","0","02-3494-5242","F","200311",,"01335","F","F","도봉구청",,,,,,,"까르푸, 롯데마그넷, 롯데마트","창동초, 창동중, 도봉중, , 자운고, 온수고, 창동",,,,"1호선","방학","도보5 분","1132010600","F","959931.6030356","1962803.4066169"
"KBA011618","서울특별시","도봉구",,"쌍문동",,"730",,"대*****","190","4","14","12","200404","대우자동차판매","개별","도시가스","270","02-995-1552","F","200404",,"01438","F","F",,,,,,"한일병원,",,"E마트, 신세계백화점, 현대백","숭미초등, 한신초등, 선덕중, 정의여중, 선덕고, 정의여고",,,,"4호선","쌍문","도보5 분","1132010500","F","958460.8163808","1961430.1531165"
"KBA011619","서울특별시","도봉구",,"창동",,"819",,"태*****","958","15","21","17","200306","태영","개별","도시가스","1246","02-994-8901","F","200306",,"01461","F","F",,,,,,"한일",,,"강북중, 도봉여중,창,창북,신도봉",,,,"4호선","쌍문","도보8 분","1132010700","F","958864.6793665","1960531.9274307"
"KBA011620","서울특별시","도봉구",,"창동",,"823",,"창*****","299","7","21","9","200401","금호건설","개별","도시가스","400","02-996-2365","F","200401","***단지조성이 잘되있음. 창동역 8분거리에 위치함.","01401","F","F","도봉구청",,,,,"상계백병원",,"이마트,농협하나로, 홈에버,홈플러스 롯데, 롯데","창동초, 창북,백운, 창일, 정의여고,선덕,창동,자운,상계",,"100,130,140,141, 142,143,150,160",,"1호선, 4호선","창동, 창동","도보7 분, 도보7 분","1132010700","F","959560.0921723","1961969.6934592"
"KBA011621","서울특별시","도봉구",,"창동",,"822",,"창*****","205","4","24","19","200311","삼호","개별","도시가스","396","02-904-3900","F","200310",,"01399","F","F",,,,,,,,,,,,,"4호선","창동","도보1 분","1132010700","F","960000.1272247","1961631.4705172"
"KBA011622","서울특별시","도봉구",,"창동",,"820",,"창*****","456","7","23","17","200310","신도종합건설","개별","도시가스","684","02-991-9881","F","200309",,"01400","F","F",,,,,,"백, 을지",,"이마트, 하나로마트, 롯데","창동, 창원, 창북,창일, 창동",,,,"4호선","창동역","도보5 분","1132010700","F","959998.6545208","1961730.2421784"
"KBA011624","서울특별시","도봉구",,"창동",,"818",,"창*****","202","4","15","14","200305","현대산업개발","개별","도시가스","263","02-990-1871","F","200306","전세대 남향배치. 용적율254퍼센트 쾌적","01410","F","F","도봉구청",,,,,,,"이마트, 하나로, 한신","창동초, 창동중, 도봉고",,,,,,,"1132010700","F","959965.3397955","1962231.4362175"
"KBA011625","서울특별시","도봉구",,"창동",,"824",,"창*****","135","1","15","9","200407","한승종합건설","개별","도시가스","150","02-991-8213","F","200407","7/1분양시작 : 초안산인근 환경쾌적","01481","F","F","도봉구청","창3","북부경찰서",,,,,"이마트,농협하나로마트","신화, 염광, 신창, 염광여자",,"1157,1133,1124",,"1호선, 4호선","성북, 창동","버스10분, 도보10분","1132010700","F","959662","1959373"
"KBA012846","서울특별시","도봉구",,"창동",,"817-1외 1필지","817","수*****","111","1","15","11","200404","수산건설","개별","도시가스","111","02-904-2000","F","200407",,"01467","F","F",,,,,,,,,,,"12-5, 235-1, 7",,"4호선, 4호선","수유, 쌍문","도보10분, 도보5 분","1132010700","F","958905.0155446","1960222.6253374"
"KBA012984","서울특별시","도봉구",,"도봉동",,"51-12",,"중*****","141","1","14","11","200410",,"개별","도시가스","155","02-954-6480","F","200410","10월 20일 입주시작, 아파트로 전환은 10월부터..","01318","F","F",,,,,,,,,,,"19",,"1호선","도봉","도보5 분","1132010800","F","960108.679318","1965116.4142451"
"KBA012985","서울특별시","도봉구",,"도봉동",,"656외 2필지","656-1,656-2","양*****","150","3","15","10","200506","양우건설","개별","도시가스","1","02-3491-6109","F","200507","도봉산역 도보5분,인근 수락초중공,인근 작은 마트.롯데백화점 차로 5분","01319","F","F",,,,,,,,"롯데","수락, 수락, 수락",,"19",,"1호선","도봉산역","도보5 분","1132010800","F","960281.3681971","1964957.5508951"
"KBA014484","서울특별시","도봉구",,"방학동",,"716-1외 2필지",,"방*****","84","1","15","15","200406","SR개발","개별","도시가스","0","02-3491-5516","F","200407",,"01332","T","F",,,,,,,,"롯데마트, 까르푸",,,,,"1호선, 4호선, 7호선","방학, 창동, 노원","도보5 분, 버스5 분, 버스5 분","1132010600","F","959860.8243275","1963102.4746315"
"KBA015126","서울특별시","도봉구",,"쌍문동",,"727",,"쌍*****","96","1","14","8","200412","파라다이스건설","개별","도시가스","125","02-903-1611","F","200501",,"01375","F","F",,,,,,,,,"동부, 선덕, 선덕",,,,"4호선","쌍문역","도보10분","1132010500","F","958349.5022425","1961926.1658677"
"KBA015130","서울특별시","도봉구",,"방학동",,"740",,"동*****","212","4","12","8","200412","동양고속건설","개별","도시가스","242","02-955-2412","F","200412",,"01359","F","F","도봉",,,,,,,"까르푸,빅마트","창도, 창동, 문화",,,,"1호선","방학역","도보5 분","1132010600","F","958554.6404661","1962903.5152083"
"KBA015564","서울특별시","도봉구",,"쌍문동",,"728",,"북*****","154","4","10","7","200506","월드건설","개별","도시가스","160","02-900-5707","F","200506","* 청한파크맨션 재건축2005.6월4일입주예정","01368","F","F",,,,,,,,,,,,,,,,"1132010500","F","957083.8285717","1961750.9797556"
"KBA015592","서울특별시","도봉구",,"창동",,"715-3",,"미*****","123","1","9","9","200510","동영건설","개별","도시가스","1","02-993-3458","F","200510","2012.01.19-관리사무실 통화-복층 19평만 있음. 총11세대중 4세대는 내부 공사중이며 공실임.","01426","T","F",,,,,,,,"빅마켓.이마트.하나로클럽.홈플러스, 롯데","가인.창동.창원, 강북.신도봉.창북.창일, 서울외국어.자운.정의여자.창동","초안산근린","1120, 1127, 1157",,"1호선, 4호선, 4호선","창동역, 창동역, 쌍문역","버스5 분, 버스5 분, 버스5 분","1132010700","F","959448.0062837","1961945.8999606"
"KBA015802","서울특별시","도봉구",,"방학동",,"714-1",,"금*****","105","2","15","15","200512","금광건업","개별","도시가스","95","02-956-1236","F","200506",,"01335","F","F",,,,,,,,,,,,,,,,"1132010600","F","959878.2149412","1962914.4507303"
"KBA016313","서울특별시","도봉구",,"쌍문동",,"729",,"브*****","155","2","14","8","200701","이수건설","개별","도시가스","310","02-906-8523","F","200701","쌍문역 도보3분,인근 승리초.신도봉중.정의여중,한일병원 도보1분*국화연립 재건축","01446","F","F",,"쌍문1",,,,"한일",,"빅마켓.이마트.홈플러스.하나로마트, 롯데","쌍문.숭미.한신, 강북.신도봉.창북.효문, 효문.정의여자.창동","쌍문근린","36.37.72.74.106.107.108.118.13",,"4호선","쌍문역","도보10분","1132010500","F","958475.6672064","1960990.6342457"
"KBA016393","서울특별시","도봉구",,"방학동",,"716-5",,"E*****","225","4","21","20","200309","SR개발","개별","도시가스","225","02-956-2893","F","200309",,"01332","T","F",,,,,,,,"롯데백화점",,,,,"1호선","방학","도보5 분","1132010600","F","959925.2159732","1963105.3300806"
"KBA016779","서울특별시","도봉구",,"방학동",,"689","외1필지","방*****","258","4","15","5","200511",,"개별","도시가스","0","02-3494-5900","F","200512",,"01344","F","F",,,,,,,,,,,,,,,,"1132010600","F","959329.8233534","1962803.4166813"
"KBA016943","서울특별시","도봉구",,"도봉동",,"647",,"도*****","139","2","20","12","200212","도시개발공사","개별","도시가스","0","02-3491-1589","F","200212",,"01318","F","F",,,,,,,,,,"도봉산, 생태",,,,,,"1132010800","F","960385.1673409","1965076.9531567"
"KBA018899","서울특별시","도봉구",,"쌍문동",,"731","343-3","쌍*****","141","2","15","9","200704","삼호","개별","도시가스","169",,"F","200704",,"01380","F","F",,,,,,,,,,,,,,,,"1132010500","F","958299.777289","1961224.2869596"
"KBA019238","서울특별시","도봉구",,"창동",,"826",,"북*****","194","2","23","11","200707","한신","개별","기타","329",,"F","200707",,"01400","F","F",,,,,,,,,,,,,,,,"1132010700","F","959662.7761102","1961879.9786474"
"KBA021339","서울특별시","도봉구",,"창동",,"827",,"동*****","92","2","17","15","200912","동도건설","기타","기타","95",,"F","200912",,"01409","F","F",,,,,,,,,"자운초등학교 도보5분, 창동중학교 도보5, 자운고등학교 도보5분",,,,"1호선, 4호선","창동, 창동","도보10분, 도보7 분","1132010700","F","959900.8716955","1962570.4558803"
"KBA022927","서울특별시","도봉구",,"도봉동",,"657",,"도*****","80","1","15","15","201012","한양","개별","도시가스","0",,"F","201012","도봉시장 재건축 총세대 80세대중 조합원분7세대 일반분양73세대","01325","T","F",,,,,,,,,,,,,,,,"1132010800","F","960112.6697857","1963990.5056327"
"KBA024622","서울특별시","도봉구",,"쌍문동",,"732",,"북*****","293","5","18","11","201309","코오롱건설","개별","도시가스","0","02-991-5566","F","201309","쌍문1구역주택재개발정비구역조합원분 172가구 , 임대분 50가구(105동) , 일반분양분 71가구(일반분양세","01370","F","F",,,,,,,,,,,,,,,,"1132010500","F","957930.6957136","1961090.0040147"
